name,type,description,static
GVKEY,string,Standard and Poor's Identifier (GVKEY),1
LIID,string,Security-level Identifier (LIID),1
LINKDT,date,First Effective Date of Link (LINKDT),1
LINKENDDT,date,Last Effective Date of Link (LINKENDDT),1
LINKPRIM,string,Primary Link Marker (LINKPRIM),1
LINKTYPE,string,Link Type Code (LINKTYPE),1
LPERMCO,double,Historical CRSP PERMCO Link to COMPUSTAT Record (LPERMCO),1
LPERMNO,double,Historical CRSP PERMNO Link to COMPUSTAT Record (LPERMNO),1
CONM,string,Company Name (CONM),1
TIC,string,Ticker Symbol (TIC),1
CUSIP,string,CUSIP (CUSIP),1
CIK,string,CIK Number (CIK),1
EXCHG,double,Stock Exchange Code (EXCHG),1
SECSTAT,string,Security Status Market (SECSTAT),1
FIC,string,Foreign Incorporation Code (FIC),1
TPCI,string,Issue Type Code (TPCI),1
ADD1,string,ADD1 -- Address Line 1 (ADD1),1
ADD2,string,ADD2 -- Address Line 2 (ADD2),1
ADD3,string,ADD3 -- Address Line 3 (ADD3),1
ADD4,string,ADD4 -- Address Line 4 (ADD4),1
ADDZIP,string,ADDZIP -- Postal Code (ADDZIP),1
BUSDESC,string,BUSDESC -- S&P Business Description (BUSDESC),1
CITY,string,CITY -- City (CITY),1
CONML,string,CONML -- Company Legal Name (CONML),1
COSTAT,string,COSTAT -- Active/Inactive Status Marker (COSTAT),1
COUNTY,string,COUNTY -- County Code (COUNTY),1
DLDTE,date,DLDTE -- Research Company Deletion Date (DLDTE),1
DLRSN,string,DLRSN -- Research Co Reason for Deletion (DLRSN),1
EIN,string,EIN -- Employer Identification Number (EIN),1
FAX,string,FAX -- Fax Number (FAX),1
FYRC,double,FYRC -- Current Fiscal Year End Month (FYRC),1
GGROUP,double,GGROUP -- GIC Groups (GGROUP),1
GIND,string,GIND -- GIC Industries (GIND),1
GSECTOR,double,GSECTOR -- GIC Sectors (GSECTOR),1
GSUBIND,double,GSUBIND -- GIC Sub-Industries (GSUBIND),1
IDBFLAG,string,"IDBFLAG -- International, Domestic, Both Indicator (IDBFLAG)",1
INCORP,string,INCORP -- Current State/Province of Incorporation Code (INCORP),1
IPODATE,date,IPODATE -- Company Initial Public Offering Date (IPODATE),1
LOC,string,LOC -- Current ISO Country Code - Headquarters (LOC),1
NAICS,string,NAICS -- North American Industry Classification Code (NAICS),1
PHONE,string,PHONE -- Phone Number (PHONE),1
PRICAN,string,PRICAN -- Current Primary Issue Tag - Canada (PRICAN),1
PRIROW,string,PRIROW -- Primary Issue Tag - Rest of World (PRIROW),1
PRIUSA,string,PRIUSA -- Current Primary Issue Tag - US (PRIUSA),1
SIC,string,SIC -- Standard Industry Classification Code (SIC),1
SPCINDCD,double,SPCINDCD -- S&P Industry Sector Code (SPCINDCD),1
SPCSECCD,double,SPCSECCD -- S&P Economic Sector Code (SPCSECCD),1
SPCSRC,string,SPCSRC -- S&P Quality Ranking - Current (SPCSRC),1
STATE,string,STATE -- State/Province (STATE),1
STKO,double,STKO -- Stock Ownership Code (STKO),1
WEBURL,string,WEBURL -- Web URL (WEBURL),1
ADRRC,double,ADRRC -- ADR Ratio - Daily (ADRRC),0
AJEXDI,double,AJEXDI -- Adjustment Factor (Issue)-Cumulative by Ex-Date (AJEXDI),0
ANNCDATE,date,ANNCDATE -- Dividend Declaration Date (ANNCDATE),0
CAPGN,double,CAPGN -- Capital Gains - Daily (CAPGN),0
CAPGNPAYDATE,date,CAPGNPAYDATE -- Capital Gains Payment Date (CAPGNPAYDATE),0
CHEQV,double,CHEQV -- Cash Equivalent Distributions (CHEQV),0
CHEQVPAYDATE,date,CHEQVPAYDATE -- Cash Equivalent Distributions per Share Payment Date (CHEQVPAYDATE),0
CSHOC,double,CSHOC -- Shares Outstanding (CSHOC),0
CSHTRD,double,CSHTRD -- Trading Volume - Daily (CSHTRD),0
CURCDD,string,CURCDD -- ISO Currency Code - Daily (CURCDD),0
CURCDDV,string,CURCDDV -- ISO Currency Code - Dividend (CURCDDV),0
DIV,double,DIV -- Dividends per Share - Ex Date - Daily (Issue) (DIV),0
DIVD,double,DIVD -- Cash Dividends - Daily (DIVD),0
DIVDPAYDATE,date,DIVDPAYDATE -- Cash Dividends - Daily Payment Date (DIVDPAYDATE),0
DIVDPAYDATEIND,string,DIVDPAYDATEIND -- Cash Dividends - Daily Payment Date Indicator (DIVDPAYDATEIND),0
DIVSP,double,DIVSP -- Special Cash Dividends - Daily (DIVSP),0
DIVSPPAYDATE,date,DIVSPPAYDATE -- Special Cash Dividends - Daily Payment Date (DIVSPPAYDATE),0
DVI,double,DVI -- Indicated Annual Dividend - Current (DVI),0
DVRATED,double,DVRATED -- Indicated Annual Dividend Rate - Daily (DVRATED),0
EPS,double,EPS -- Current EPS (EPS),0
EPSMO,double,EPSMO -- Current EPS Month (EPSMO),0
IID,string,IID -- Issue ID - Dividends (IID),0
PAYDATE,date,PAYDATE -- Dividend Payment Date (PAYDATE),0
PAYDATEIND,string,PAYDATEIND -- Dividend Payment Date Indicator (PAYDATEIND),0
PRCCD,double,PRCCD -- Price - Close - Daily (PRCCD),0
PRCHD,double,PRCHD -- Price - High - Daily (PRCHD),0
PRCLD,double,PRCLD -- Price - Low - Daily (PRCLD),0
PRCOD,double,PRCOD -- Price - Open - Daily (PRCOD),0
PRCSTD,double,PRCSTD -- Price Status Code - Daily (PRCSTD),0
RECORDDATE,date,RECORDDATE -- Dividend Record Date (RECORDDATE),0
TRFD,double,TRFD -- Daily Total Return Factor (TRFD),0
