lpermno,gvkey,linkprim,liid,linktype,lpermco,linkdt,linkenddt,iid,datadate,tic,cusip,conm,curcddv,capgn,cheqv,div,divd,divdpaydateind,divsp,dvrated,paydateind,anncdate,capgnpaydate,cheqvpaydate,divdpaydate,divsppaydate,paydate,recorddate,curcdd,adrrc,ajexdi,cshoc,cshtrd,dvi,eps,epsmo,prccd,prchd,prcld,prcod,prcstd,trfd,exchg,secstat,tpci,cik,fic,add1,add2,add3,add4,addzip,busdesc,city,conml,costat,county,dlrsn,ein,fax,fyrc,ggroup,gind,gsector,gsubind,idbflag,incorp,loc,naics,phone,prican,prirow,priusa,sic,spcindcd,spcseccd,spcsrc,state,stko,weburl,dldte,ipodate
90284,001164,P,10,LC,45424,1089763200000000000,20060106,10,2005-12-21 00:00:00,MCIP,552691107,MCI INC,nan,,,,,nan,,,nan,,,,,,,,USD,,1.0,328155000.0,1963122.0,0.0,0.22,9.0,19.73,19.8,19.66,19.66,3.0,1.36318616,14,I,0,0000723527,USA,One Verizon Way,nan,nan,nan,07920,"Verizon Business Global LLC offers wireless phone services in the United States. The company provides local telephone, long-distance, Internet access, and digital television (TV) services to residential and wholesale customers.",Basking Ridge,MCI Inc,I,,01,20-0533283,,12,5010,501010,50,50101020,D,DE,USA,517110,908 559 5672,,,10,4813,463,974,,NJ,0,www.wcom.com/home.shtml,1136764800000000000,
90284,001164,P,10,LC,45424,1089763200000000000,20060106,10,2005-12-30 00:00:00,MCIP,552691107,MCI INC,nan,,,,,nan,,,nan,,,,,,,,USD,,1.0,328155000.0,1591051.0,0.0,0.22,9.0,19.73,19.81,19.64,19.69,3.0,1.36318616,14,I,0,0000723527,USA,One Verizon Way,nan,nan,nan,07920,"Verizon Business Global LLC offers wireless phone services in the United States. The company provides local telephone, long-distance, Internet access, and digital television (TV) services to residential and wholesale customers.",Basking Ridge,MCI Inc,I,,01,20-0533283,,12,5010,501010,50,50101020,D,DE,USA,517110,908 559 5672,,,10,4813,463,974,,NJ,0,www.wcom.com/home.shtml,1136764800000000000,
90284,001164,P,10,LC,45424,1089763200000000000,20060106,10,2005-09-23 00:00:00,MCIP,552691107,MCI INC,nan,,,,,nan,,,nan,,,,,,,,USD,,1.0,326431000.0,4537857.0,0.0,-11.22,6.0,25.46,25.55,25.3,25.38,3.0,1.06346719,14,I,0,0000723527,USA,One Verizon Way,nan,nan,nan,07920,"Verizon Business Global LLC offers wireless phone services in the United States. The company provides local telephone, long-distance, Internet access, and digital television (TV) services to residential and wholesale customers.",Basking Ridge,MCI Inc,I,,01,20-0533283,,12,5010,501010,50,50101020,D,DE,USA,517110,908 559 5672,,,10,4813,463,974,,NJ,0,www.wcom.com/home.shtml,1136764800000000000,
90284,001164,P,10,LC,45424,1089763200000000000,20060106,10,2006-01-04 00:00:00,MCIP,552691107,MCI INC,nan,,,,,nan,,,nan,,,,,,,,USD,,1.0,328155000.0,9674216.0,0.0,0.22,9.0,20.45,20.46,19.85,20.02,3.0,1.36318616,14,I,0,0000723527,USA,One Verizon Way,nan,nan,nan,07920,"Verizon Business Global LLC offers wireless phone services in the United States. The company provides local telephone, long-distance, Internet access, and digital television (TV) services to residential and wholesale customers.",Basking Ridge,MCI Inc,I,,01,20-0533283,,12,5010,501010,50,50101020,D,DE,USA,517110,908 559 5672,,,10,4813,463,974,,NJ,0,www.wcom.com/home.shtml,1136764800000000000,
90284,001164,P,10,LC,45424,1089763200000000000,20060106,10,2005-10-11 00:00:00,MCIP,552691107,MCI INC,nan,,,,,nan,,,nan,,,,,,,,USD,,1.0,326431000.0,7445275.0,0.0,-11.22,6.0,25.52,25.54,25.47,25.47,3.0,1.06346719,14,I,0,0000723527,USA,One Verizon Way,nan,nan,nan,07920,"Verizon Business Global LLC offers wireless phone services in the United States. The company provides local telephone, long-distance, Internet access, and digital television (TV) services to residential and wholesale customers.",Basking Ridge,MCI Inc,I,,01,20-0533283,,12,5010,501010,50,50101020,D,DE,USA,517110,908 559 5672,,,10,4813,463,974,,NJ,0,www.wcom.com/home.shtml,1136764800000000000,
90284,001164,P,10,LC,45424,1089763200000000000,20060106,10,2005-11-14 00:00:00,MCIP,552691107,MCI INC,nan,,,,,nan,,,nan,,,,,,,,USD,,1.0,328155000.0,1425042.0,0.0,0.22,9.0,19.7,19.78,19.69,19.78,3.0,1.36318616,14,I,0,0000723527,USA,One Verizon Way,nan,nan,nan,07920,"Verizon Business Global LLC offers wireless phone services in the United States. The company provides local telephone, long-distance, Internet access, and digital television (TV) services to residential and wholesale customers.",Basking Ridge,MCI Inc,I,,01,20-0533283,,12,5010,501010,50,50101020,D,DE,USA,517110,908 559 5672,,,10,4813,463,974,,NJ,0,www.wcom.com/home.shtml,1136764800000000000,
90284,001164,P,10,LC,45424,1089763200000000000,20060106,10,2005-11-25 00:00:00,MCIP,552691107,MCI INC,nan,,,,,nan,,,nan,,,,,,,,USD,,1.0,328155000.0,391103.0,0.0,0.22,9.0,19.87,19.87,19.76,19.77,3.0,1.36318616,14,I,0,0000723527,USA,One Verizon Way,nan,nan,nan,07920,"Verizon Business Global LLC offers wireless phone services in the United States. The company provides local telephone, long-distance, Internet access, and digital television (TV) services to residential and wholesale customers.",Basking Ridge,MCI Inc,I,,01,20-0533283,,12,5010,501010,50,50101020,D,DE,USA,517110,908 559 5672,,,10,4813,463,974,,NJ,0,www.wcom.com/home.shtml,1136764800000000000,
90284,001164,P,10,LC,45424,1089763200000000000,20060106,10,2005-08-17 00:00:00,MCIP,552691107,MCI INC,nan,,,,,nan,,,nan,,,,,,,,USD,,1.0,326593000.0,7307581.0,0.0,-11.22,6.0,25.69,25.84,25.45,25.56,3.0,1.06346719,14,I,0,0000723527,USA,One Verizon Way,nan,nan,nan,07920,"Verizon Business Global LLC offers wireless phone services in the United States. The company provides local telephone, long-distance, Internet access, and digital television (TV) services to residential and wholesale customers.",Basking Ridge,MCI Inc,I,,01,20-0533283,,12,5010,501010,50,50101020,D,DE,USA,517110,908 559 5672,,,10,4813,463,974,,NJ,0,www.wcom.com/home.shtml,1136764800000000000,
90284,001164,P,10,LC,45424,1089763200000000000,20060106,10,2005-09-21 00:00:00,MCIP,552691107,MCI INC,nan,,,,,nan,,,nan,,,,,,,,USD,,1.0,326431000.0,5242452.0,0.0,-11.22,6.0,25.44,25.6,25.44,25.56,3.0,1.06346719,14,I,0,0000723527,USA,One Verizon Way,nan,nan,nan,07920,"Verizon Business Global LLC offers wireless phone services in the United States. The company provides local telephone, long-distance, Internet access, and digital television (TV) services to residential and wholesale customers.",Basking Ridge,MCI Inc,I,,01,20-0533283,,12,5010,501010,50,50101020,D,DE,USA,517110,908 559 5672,,,10,4813,463,974,,NJ,0,www.wcom.com/home.shtml,1136764800000000000,
90284,001164,P,10,LC,45424,1089763200000000000,20060106,10,2005-09-19 00:00:00,MCIP,552691107,MCI INC,nan,,,,,nan,,,nan,,,,,,,,USD,,1.0,326431000.0,1453387.0,0.0,-11.22,6.0,25.62,25.66,25.51,25.55,3.0,1.06346719,14,I,0,0000723527,USA,One Verizon Way,nan,nan,nan,07920,"Verizon Business Global LLC offers wireless phone services in the United States. The company provides local telephone, long-distance, Internet access, and digital television (TV) services to residential and wholesale customers.",Basking Ridge,MCI Inc,I,,01,20-0533283,,12,5010,501010,50,50101020,D,DE,USA,517110,908 559 5672,,,10,4813,463,974,,NJ,0,www.wcom.com/home.shtml,1136764800000000000,
